date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:57	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226892628f-239b%22	https://themewagon.github.io/robots.txt		(from )
16:26:57	30082/30082	---M-Z	200	added ('OK')	text/html	etag:W/%226847ee80-7582%22	https://themewagon.github.io/Netic/	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/index.html	(from )
16:26:57	140421/140421	---M-Z	200	added ('OK')	text/css	etag:W/%226847ee80-22485%22	https://themewagon.github.io/Netic/css/bootstrap.min.css	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/css/bootstrap.min.css	(from https://themewagon.github.io/Netic/)
16:26:58	19884/19884	---M-Z	200	added ('OK')	text/css	etag:W/%226847ee80-4dac%22	https://themewagon.github.io/Netic/css/style.css	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/css/style.css	(from https://themewagon.github.io/Netic/)
16:26:58	11252/11252	---M-Z	200	added ('OK')	text/css	etag:W/%226847ee80-2bf4%22	https://themewagon.github.io/Netic/css/responsive.css	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/css/responsive.css	(from https://themewagon.github.io/Netic/)
16:26:58	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264c00bd1-24a3%22	https://themewagon.github.io/Netic/images/fevicon.png	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/images/fevicon.png	(from https://themewagon.github.io/Netic/)
16:26:59	42839/42839	---M-Z	200	added ('OK')	text/css	etag:W/%226847ee80-a757%22	https://themewagon.github.io/Netic/css/jquery.mCustomScrollbar.min.css	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/css/jquery.mCustomScrollbar.min.css	(from https://themewagon.github.io/Netic/)
16:26:59	21658/21658	---MCZ	200	added ('OK')	text/css	etag:W/%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	https://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from https://themewagon.github.io/Netic/)
16:26:59	30082/30082	---M-Z	200	added ('OK')	text/html	etag:W/%226847ee80-7582%22	https://themewagon.github.io/Netic/index.html	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/index-2.html	(from https://themewagon.github.io/Netic/)
16:27:00	1765/1765	---M--	200	added ('OK')	image/png	etag:%226847ee80-6e5%22	https://themewagon.github.io/Netic/images/logo.png	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/images/logo.png	(from https://themewagon.github.io/Netic/)
16:27:00	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264c00bd1-24a3%22	https://themewagon.github.io/Netic/about.html	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/about.html	(from https://themewagon.github.io/Netic/)
16:27:01	9180/9180	---M-Z	200	added ('OK')	text/html	etag:W/%226847ee80-23dc%22	https://themewagon.github.io/Netic/hosting.html	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/hosting.html	(from https://themewagon.github.io/Netic/)
16:27:01	13309/13309	---M-Z	200	added ('OK')	text/html	etag:W/%226847ee80-33fd%22	https://themewagon.github.io/Netic/testimonial.html	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/testimonial.html	(from https://themewagon.github.io/Netic/)
16:27:02	10555/10555	---M-Z	200	added ('OK')	text/html	etag:W/%226847ee80-293b%22	https://themewagon.github.io/Netic/domain.html	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/domain.html	(from https://themewagon.github.io/Netic/)
16:27:02	15741/15741	---M-Z	200	added ('OK')	text/html	etag:W/%226847ee80-3d7d%22	https://themewagon.github.io/Netic/services.html	C:/Users/rafiq/OneDrive/Desktop/Clean/NETIC/themewagon.github.io/Netic/services.html	(from https://themewagon.github.io/Netic/)
